k,inertia,silhouette,calinski_harabasz
2,4565.995065896002,0.278427448389108,257.38076848653617
3,3578.5825613322904,0.31617142682554866,243.8195419357902
4,2853.8913314739766,0.2839613224562714,252.37387775159675
5,2477.5957448239374,0.27778141289536484,239.55957252282406
6,2228.483353798817,0.2840806174950591,225.57953937236528
7,2020.136685824884,0.2681065464016043,216.89430533275083
8,1872.1820890174722,0.26684709501686527,206.73284698514064
