segment_id,duration,idle_ratio,accel_ratio,decel_ratio,cruise_ratio,v_mean,v_mean_run,v_max,v_std,a_mean_pos,a_mean_neg,a_max,a_std,v_times_a_max,cluster,工况
0,68.0,0.11764705882352941,0.38235294117647056,0.2647058823529412,0.23529411764705882,7.020588235294118,7.956666666666666,17.4,5.2056688224735685,0.4252136752136752,-0.5447530864197531,1.25,0.4639219170983982,2.4444444444444464,1,城郊过渡工况（中速）
1,368.0,0.26358695652173914,0.3016304347826087,0.23369565217391305,0.20380434782608695,26.255163043478266,35.65276752767527,56.5,18.42415786157401,0.38213213213213226,-0.48708010335917307,1.0833333333333333,0.3903323441624981,13.851851851851855,1,城郊过渡工况（中速）
2,120.0,0.20833333333333334,0.4,0.2916666666666667,0.10833333333333334,20.26,25.58947368421053,45.2,14.190521484427554,0.44386574074074076,-0.6515873015873015,1.1944444444444444,0.5846617369965464,10.1003086419753,1,城郊过渡工况（中速）
3,217.0,0.33640552995391704,0.28110599078341014,0.1889400921658986,0.19815668202764977,27.43594470046083,41.34444444444445,55.0,22.726735674753684,0.37841530054644806,-0.5636856368563685,1.6944444444444442,0.3946148977111819,8.629629629629623,1,城郊过渡工况（中速）
4,171.0,0.2046783625730994,0.2982456140350877,0.21052631578947367,0.29239766081871343,39.0514619883041,49.1,68.7,25.67140160637299,0.47222222222222193,-0.6851851851851849,2.2222222222222223,0.5526210262496061,11.666666666666652,1,城郊过渡工况（中速）
5,213.0,0.18779342723004694,0.431924882629108,0.2535211267605634,0.13145539906103287,30.901877934272303,38.046820809248544,65.5,19.464919600782125,0.4227053140096618,-0.6944444444444444,1.4722222222222223,0.5584034545632195,12.33796296296295,1,城郊过渡工况（中速）
6,441.0,0.1360544217687075,0.4217687074829932,0.23809523809523808,0.20634920634920634,45.08866213151927,52.18320209973753,81.5,23.88732352513012,0.3890382317801673,-0.6923280423280425,1.1388888888888893,0.78522503342092,18.190586419753092,1,城郊过渡工况（中速）
7,292.0,0.136986301369863,0.4520547945205479,0.273972602739726,0.1404109589041096,35.6291095890411,41.28373015873016,65.9,20.706342302201406,0.4553872053872054,-0.7611111111111111,4.222222222222222,0.6841058874282415,20.234567901234588,1,城郊过渡工况（中速）
8,195.0,0.2358974358974359,0.4153846153846154,0.22564102564102564,0.1282051282051282,29.43076923076923,38.51677852348993,60.9,20.584780958285464,0.4818244170096021,-0.875631313131313,3.4722222222222223,0.6594903154997938,19.250771604938272,1,城郊过渡工况（中速）
9,101.0,0.3465346534653465,0.3465346534653465,0.24752475247524752,0.06930693069306931,12.319801980198022,18.853030303030305,32.4,11.503508029748627,0.44999999999999996,-0.5888888888888889,0.916666666666667,0.5004081388296939,5.932870370370372,1,城郊过渡工况（中速）
10,160.0,0.31875,0.33125,0.25625,0.1,23.361250000000002,34.287155963302745,53.5,20.054774953549092,0.4423480083857441,-0.5928184281842819,1.9166666666666667,0.512937105406705,8.62345679012345,1,城郊过渡工况（中速）
11,64.0,0.0625,0.484375,0.359375,0.109375,25.9125,27.64,43.7,12.404541758968769,0.5044802867383512,-0.6485507246376813,2.138888888888889,0.6573972188829685,6.847993827160495,1,城郊过渡工况（中速）
12,208.0,0.1971153846153846,0.3798076923076923,0.2980769230769231,0.12980769230769232,25.946153846153848,32.31437125748503,42.5,14.972885256336143,0.3857243319268636,-0.48252688172043023,1.3333333333333333,0.4368271614801685,13.308641975308653,1,城郊过渡工况（中速）
13,71.0,0.2112676056338028,0.323943661971831,0.352112676056338,0.1267605633802817,14.60704225352113,18.5125,27.4,8.909929955679566,0.48913043478260887,-0.4566666666666668,1.3055555555555554,0.4828556648624415,6.555555555555555,1,城郊过渡工况（中速）
14,23.0,0.43478260869565216,0.34782608695652173,0.2608695652173913,0.043478260869565216,6.634782608695652,11.684615384615386,17.2,6.633617197777851,0.6145833333333334,-0.898148148148148,1.6944444444444444,0.7167973598164205,4.932098765432098,0,市区拥堵工况（低速、高怠速比）
15,104.0,0.2403846153846154,0.3076923076923077,0.3173076923076923,0.14423076923076922,14.235576923076923,18.740506329113927,30.8,10.314896978019691,0.4262152777777777,-0.41582491582491576,1.4166666666666663,0.3965974722888854,4.761574074074073,1,城郊过渡工况（中速）
16,39.0,0.7435897435897436,0.05128205128205128,0.1282051282051282,0.10256410256410256,1.0102564102564104,3.8200000000000003,5.0,1.722073120308681,0.6666666666666667,-0.31666666666666665,1.2222222222222223,0.23450685696185292,1.6635802469135805,0,市区拥堵工况（低速、高怠速比）
17,39.0,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.1794871794871795,4.930769230769231,6.867857142857143,13.2,4.711042883408053,0.4646464646464646,-0.398989898989899,1.4722222222222219,0.4011179497523869,4.37577160493827,0,市区拥堵工况（低速、高怠速比）
18,57.0,0.2631578947368421,0.3333333333333333,0.24561403508771928,0.19298245614035087,7.803508771929825,10.514285714285714,16.3,5.67777955463011,0.44444444444444436,-0.5892857142857143,2.3333333333333335,0.5202583519547118,5.833333333333334,0,市区拥堵工况（低速、高怠速比）
19,58.0,0.06896551724137931,0.41379310344827586,0.3448275862068966,0.20689655172413793,10.056896551724137,10.794444444444444,26.8,7.0136348013871865,0.5763888888888888,-0.6555555555555556,1.8611111111111112,0.7065012288990733,8.891975308641975,1,城郊过渡工况（中速）
20,88.0,0.125,0.2840909090909091,0.4090909090909091,0.19318181818181818,16.823863636363637,19.220779220779217,30.6,9.361817936293894,0.5377777777777779,-0.41280864197530864,1.5,0.46644845306326815,7.300925925925918,1,城郊过渡工况（中速）
